time	V(transmit_electrode)
0.000000000000000e+00	-1.347111e-15
1.128852971058131e-06	3.898060e-02
3.386558913174610e-06	1.162292e-01
7.901970797407568e-06	2.629881e-01
1.425646777207740e-05	4.350704e-01
1.762674906101045e-05	5.025598e-01
2.000804484390546e-05	5.382980e-01
2.176348693202720e-05	5.578563e-01
2.343587084484354e-05	5.709475e-01
2.525736274576452e-05	5.789503e-01
2.691906148079423e-05	5.805357e-01
2.962192366355696e-05	5.715878e-01
3.398531725982458e-05	5.283694e-01
4.083579363583969e-05	3.991411e-01
4.748588598261312e-05	2.256329e-01
5.549877286887476e-05	1.509744e-03
6.213894247141579e-05	-1.551491e-01
6.620572859050624e-05	-2.235471e-01
6.898747397899967e-05	-2.547361e-01
7.100495458451208e-05	-2.685882e-01
7.251196782456955e-05	-2.738995e-01
7.434239963326423e-05	-2.744207e-01
7.625546457548800e-05	-2.679428e-01
7.854347839617742e-05	-2.508016e-01
8.225156300641274e-05	-2.019411e-01
8.646068230562846e-05	-1.174115e-01
9.208563021645693e-05	3.490648e-02
9.748530010415552e-05	2.087915e-01
1.041867374705502e-04	4.344492e-01
1.117883877949652e-04	6.604181e-01
1.159765101823829e-04	7.547190e-01
1.188250122760579e-04	8.024098e-01
1.208850157207394e-04	8.276756e-01
1.224215673977578e-04	8.412321e-01
1.242323281578559e-04	8.512625e-01
1.262144835918553e-04	8.547859e-01
1.284768257882383e-04	8.493087e-01
1.321440457789345e-04	8.195302e-01
1.379835560394666e-04	7.238378e-01
1.467661656524410e-04	4.993502e-01
1.579343902822841e-04	1.795828e-01
1.635682838957181e-04	5.159330e-02
1.671581595569978e-04	-6.742699e-03
1.696690423539941e-04	-3.456123e-02
1.715105932467847e-04	-4.761106e-02
1.731271622553883e-04	-5.374087e-02
1.747090628738245e-04	-5.482889e-02
1.763918538807536e-04	-5.061788e-02
1.787652671633045e-04	-3.532445e-02
1.826090473225296e-04	1.190498e-02
1.887098938867249e-04	1.376999e-01
1.977975637064218e-04	4.043737e-01
