time	V(vout)
0.000000000000000e+00	-2.807420e-03
1.128852971058131e-06	-1.192951e-01
3.386558913174610e-06	-3.474893e-01
7.901970797407568e-06	-7.702451e-01
1.425646777207740e-05	-1.284884e+00
1.762674906101045e-05	-1.500320e+00
2.000804484390546e-05	-1.612285e+00
2.176348693202720e-05	-1.672646e+00
2.343587084484354e-05	-1.711761e+00
2.525736274576452e-05	-1.735856e+00
2.691906148079423e-05	-1.738581e+00
2.962192366355696e-05	-1.701904e+00
3.398531725982458e-05	-1.553035e+00
4.083579363583969e-05	-1.164563e+00
4.748588598261312e-05	-6.700605e-01
5.549877286887476e-05	-3.096347e-02
6.213894247141579e-05	4.382619e-01
6.620572859050624e-05	6.559470e-01
6.898747397899967e-05	7.563443e-01
7.100495458451208e-05	8.016201e-01
7.251196782456955e-05	8.181852e-01
7.434239963326423e-05	8.190173e-01
7.625546457548800e-05	7.987433e-01
7.854347839617742e-05	7.421907e-01
8.225156300641274e-05	5.881014e-01
8.646068230562846e-05	3.306217e-01
9.208563021645693e-05	-1.210290e-01
9.748530010415552e-05	-6.270473e-01
1.041867374705502e-04	-1.275186e+00
1.117883877949652e-04	-1.943884e+00
1.159765101823829e-04	-2.240784e+00
1.188250122760579e-04	-2.390172e+00
1.208850157207394e-04	-2.469220e+00
1.224215673977578e-04	-2.510173e+00
1.242323281578559e-04	-2.538827e+00
1.262144835918553e-04	-2.547874e+00
1.284768257882383e-04	-2.525887e+00
1.321440457789345e-04	-2.420133e+00
1.379835560394666e-04	-2.111874e+00
1.467661656524410e-04	-1.462378e+00
1.579343902822841e-04	-5.561211e-01
1.635682838957181e-04	-1.584772e-01
1.671581595569978e-04	2.750676e-02
1.696690423539941e-04	1.169068e-01
1.715105932467847e-04	1.587903e-01
1.731271622553883e-04	1.782681e-01
1.747090628738245e-04	1.819035e-01
1.763918538807536e-04	1.679347e-01
1.787652671633045e-04	1.158493e-01
1.826090473225296e-04	-4.110407e-02
1.887098938867249e-04	-4.346998e-01
1.977975637064218e-04	-1.199483e+00
2.067167278193361e-04	-1.997112e+00
2.131170900144847e-04	-2.503179e+00
2.168544418666768e-04	-2.729148e+00
2.194505857071941e-04	-2.840991e+00
2.213481054570000e-04	-2.897430e+00
2.229251219747479e-04	-2.927014e+00
2.245001622776328e-04	-2.940629e+00
2.263141679566660e-04	-2.936637e+00
2.286389460577330e-04	-2.899086e+00
2.324054941175416e-04	-2.765689e+00
2.383924116017458e-04	-2.408742e+00
2.473486467094376e-04	-1.688702e+00
2.575826611815012e-04	-7.984831e-01
2.633817795111464e-04	-3.536188e-01
2.670322758448042e-04	-1.406994e-01
2.695783738838249e-04	-3.389621e-02
2.714431074660674e-04	2.019525e-02
2.730432670580167e-04	4.959846e-02
2.745600101240974e-04	6.262394e-02
2.763364287037163e-04	5.912590e-02
2.786751451788094e-04	2.280426e-02
2.824638400113081e-04	-1.074309e-01
2.884834896484958e-04	-4.564235e-01
2.974777360194320e-04	-1.157060e+00
3.065257179121973e-04	-1.914309e+00
3.129981702793951e-04	-2.391317e+00
3.167748602055972e-04	-2.599666e+00
3.193935140884173e-04	-2.698425e+00
3.213057196289955e-04	-2.744932e+00
3.228723942085370e-04	-2.765689e+00
3.244884053034832e-04	-2.770631e+00
3.263097943781580e-04	-2.756362e+00
3.286318338104044e-04	-2.705688e+00
3.323940291859648e-04	-2.551289e+00
3.383745077199657e-04	-2.161496e+00
3.473232419169059e-04	-1.393825e+00
3.584870707139909e-04	-3.671816e-01
3.639016032882206e-04	6.856946e-02
3.673843205571636e-04	2.824069e-01
3.698323677532105e-04	3.937105e-01
3.716323223325682e-04	4.526611e-01
3.732782325041365e-04	4.892206e-01
3.747924220532687e-04	5.083346e-01
3.764228434260971e-04	5.117643e-01
3.788156519356125e-04	4.843382e-01
3.826901961769217e-04	3.664736e-01
3.888362531181959e-04	3.316711e-02
3.979753974035908e-04	-6.407707e-01
4.077832470552843e-04	-1.412611e+00
4.134777689995912e-04	-1.796102e+00
4.170970057015950e-04	-1.971719e+00
4.196249742781640e-04	-2.052525e+00
4.214777845782120e-04	-2.087489e+00
4.230863791721141e-04	-2.100441e+00
4.246366074976153e-04	-2.097564e+00
4.263649139024661e-04	-2.075825e+00
4.287214637412925e-04	-2.013667e+00
4.325384791801143e-04	-1.839913e+00
4.385999129146577e-04	-1.418157e+00
4.476423907952836e-04	-6.060646e-01
4.575745842197499e-04	3.444400e-01
4.633532438088415e-04	8.358899e-01
4.670130574080623e-04	1.079298e+00
4.695645469921426e-04	1.206808e+00
4.714328217081093e-04	1.275753e+00
4.730304780681096e-04	1.317587e+00
4.745372871089190e-04	1.342157e+00
4.763279772379884e-04	1.352298e+00
4.786614020927326e-04	1.333611e+00
4.824416902360919e-04	1.231434e+00
4.884489209377415e-04	9.256577e-01
4.974287689480598e-04	2.864483e-01
5.074391915016062e-04	-4.873288e-01
5.132727099685238e-04	-8.770081e-01
5.169588793656973e-04	-1.054914e+00
5.195255900224299e-04	-1.136145e+00
5.214038501043759e-04	-1.170954e+00
5.229944525088541e-04	-1.183322e+00
5.245156286691826e-04	-1.180064e+00
5.263199211731093e-04	-1.156968e+00
5.286483017565534e-04	-1.095301e+00
5.324205747999737e-04	-9.237657e-01
5.384159583710620e-04	-5.084441e-01
5.473820441355625e-04	2.938978e-01
5.574094100263742e-04	1.251716e+00
5.632550230394010e-04	1.747982e+00
